ERROR  | wrapper  | 2018/11/26 14:40:53 | The mycat service is not installed - The specified service does not exist as an installed service. (0x424)
INFO   | jvm 1    | 2018/12/13 23:04:52 | 2018-12-13 23:04:52,481 [INFO ][$_NIOREACTOR-4-RW] close connection,reason:quit cmd ,ServerConnection [id=2, schema=forum, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=forum]  (io.mycat.net.AbstractConnection:AbstractConnection.java:508) 
INFO   | jvm 1    | 2018/12/13 23:05:02 | 2018-12-13 23:05:02,300 [INFO ][$_NIOREACTOR-5-RW] ServerConnection [id=3, schema=forum, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=forum]'root' login success  (io.mycat.net.handler.FrontendAuthenticator:FrontendAuthenticator.java:194) 
INFO   | jvm 1    | 2018/12/13 23:12:32 | 2018-12-13 23:12:32,809 [INFO ][Timer1] ServerConnection [id=3, schema=forum, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=forum] idle timeout  (io.mycat.net.AbstractConnection:AbstractConnection.java:521) 
INFO   | jvm 1    | 2018/12/13 23:12:32 | 2018-12-13 23:12:32,809 [INFO ][Timer1] close connection,reason: idle  ,ServerConnection [id=3, schema=forum, host=127.0.0.1, user=root,txIsolation=3, autocommit=true, schema=forum]  (io.mycat.net.AbstractConnection:AbstractConnection.java:508) 
STATUS | wrapper  | 2018/12/14 00:06:54 | <-- Wrapper Stopped
STATUS | wrapper  | 2018/12/16 23:04:07 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/12/16 23:04:07 | Launching a JVM...
INFO   | jvm 1    | 2018/12/16 23:04:07 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2018/12/16 23:04:08 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2018/12/16 23:04:08 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2018/12/16 23:04:08 | 
INFO   | jvm 1    | 2018/12/16 23:04:08 | 
INFO   | jvm 1    | 2018/12/16 23:04:08 | WARNING - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2018/12/16 23:04:08 |           following files:
INFO   | jvm 1    | 2018/12/16 23:04:08 |             libwrapper-macosx-x86-64.dylib
INFO   | jvm 1    | 2018/12/16 23:04:08 |             libwrapper-macosx-universal-64.dylib
INFO   | jvm 1    | 2018/12/16 23:04:08 |             libwrapper.dylib
INFO   | jvm 1    | 2018/12/16 23:04:08 |           could be located on the following java.library.path:
INFO   | jvm 1    | 2018/12/16 23:04:08 |             /Users/ljl/Documents/forum/src/main/resources/config/Mycat/Mycat/lib
INFO   | jvm 1    | 2018/12/16 23:04:08 |           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2018/12/16 23:04:08 |           configuration property.
INFO   | jvm 1    | 2018/12/16 23:04:08 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2018/12/16 23:04:08 | 
INFO   | jvm 1    | 2018/12/16 23:04:08 | 2018-12-16 23:04:08,708 [INFO ][WrapperSimpleAppMain] total resouces of dataHost localhost1 is :1  (io.mycat.backend.datasource.PhysicalDBPool:PhysicalDBPool.java:100) 
INFO   | jvm 1    | 2018/12/16 23:04:08 | 2018-12-16 23:04:08,717 [INFO ][WrapperSimpleAppMain] create layer cache pool TableID2DataNodeCache of type encache ,default cache size 10000 ,default expire seconds18000  (io.mycat.cache.CacheService:CacheService.java:125) 
INFO   | jvm 1    | 2018/12/16 23:04:08 | 2018-12-16 23:04:08,719 [INFO ][WrapperSimpleAppMain] create child Cache: TESTDB_ORDERS for layered cache TableID2DataNodeCache, size 50000, expire seconds 18000  (io.mycat.cache.DefaultLayedCachePool:DefaultLayedCachePool.java:80) 
INFO   | jvm 1    | 2018/12/16 23:04:08 | 2018-12-16 23:04:08,874 [INFO ][WrapperSimpleAppMain] dyna class load from ./catlet,and auto check for class file modified every 60 seconds  (io.mycat.config.classloader.DynaClassLoader:DynaClassLoader.java:34) 
INFO   | jvm 1    | 2018/12/16 23:04:08 | 2018-12-16 23:04:08,874 [INFO ][WrapperSimpleAppMain] ===============================================  (io.mycat.MycatServer:MycatServer.java:266) 
INFO   | jvm 1    | 2018/12/16 23:04:08 | 2018-12-16 23:04:08,874 [INFO ][WrapperSimpleAppMain] MyCat is ready to startup ...  (io.mycat.MycatServer:MycatServer.java:267) 
INFO   | jvm 1    | 2018/12/16 23:04:08 | 2018-12-16 23:04:08,875 [INFO ][WrapperSimpleAppMain] Startup processors ...,total processors:8,aio thread pool size:16    
INFO   | jvm 1    | 2018/12/16 23:04:08 |  each process allocated socket buffer pool  bytes ,a page size:2097152  a page's chunk number(PageSize/ChunkSize) is:512  buffer page's number is:160  (io.mycat.MycatServer:MycatServer.java:279) 
